face_id,age,gender,relationship,music_genre,band,team,first_name,last_name,education,education_prompt,work,work_prompt,fav_movie_1,fav_movie_2,fav_book_1,fav_book_2,fav_book_3,fav_auth_1,fav_auth_2,fav_auth_3,fav_food_1,fav_food_2,fav_food_3,home_city,home_state,languages,hogwarts,fav_pet,vg_genre,fav_video_game,spouse_id,n_friends,credit,gender_female,gender_male,relationship_married,relationship_single,relationship_widowed,music_genre_classical,music_genre_country,music_genre_electronic,music_genre_folk,music_genre_heavy metal,music_genre_hip-hop,music_genre_jazz,music_genre_rock,music_genre_tibetian throat singing,hogwarts_gryffindor,hogwarts_hufflepuff,hogwarts_ravenclaw,hogwarts_slytherin,fav_pet_birds,fav_pet_cats,fav_pet_dogs,fav_pet_fish,fav_pet_horses,fav_pet_reptiles,fav_pet_rodents
11,41.0,female,single,heavy metal,Earth Storm,Green Bay Packers,Mariko,Fox,general_education,Went to Edgewood College,Telecom Contract South,Works asconstruction_worker atTelecom Contract South,"['I.T.', 'Terminator 2: Judgment Day', 'Sin City: A Dame to Kill For']","['Despicable Me 3', 'Sing', 'Smurfs: The Lost Village']",Predictably Irrational: The Hidden Forces that Shape Our Decisions,,رحلتي من الشك إلى الإيمان,Dan Ariely,Laurie Halse Anderson,مصطفى محمود,Spinach and Sorrel Spanakopita ,Chorizo ,Spicy Sweet Potato Spread ,Groesbeck,OH,1,hufflepuff,fish,Simulation,Cooking Mama,0,4,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12,29.0,male,married,hip-hop,Saint R.G.,San Francisco 49ers,Forrest,Edwards,bachelor,Went to Eagle Mountain College,Atlantic Future Building,Works aspilot atAtlantic Future Building,"['Snow White and the Huntsman', 'Spider-Man 3', 'Pirates of the Caribbean: On Stranger Tides']","['Ronaldo', 'The Summit', 'Dirty Wars']",Uganda Be Kidding Me,The Letters of Vincent van Gogh,The Christmas Wedding,Chelsea Handler,"Vincent van Gogh, Ronald de Leeuw, Mark Roskill, Arnold J. Pomerans","James Patterson, Richard DiLallo",Miso-Glazed Black Cod on Sunflower Sprouts ,Braised Duck Legs with Leeks and Green Olives ,Crisp Spiced Nuts ,Suissevale,NH,1,hufflepuff,rodents,Racing,The Simpsons: Hit & Run,677,6,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13,48.0,male,single,folk,Against Highway,Indianapolis Colts,David,Mcdowell,general_education,Went to Bear Valley Charter School,Alpha Provider Pacific,Works aswaiter atAlpha Provider Pacific,"['Guardians of the Galaxy Vol. 2', 'Inception', 'Kingsman: The Secret Service']","['The Dark Tower', 'Piranha', 'GirlHouse']","Tunnels of Blood (Cirque du Freak, #3) ",Le Misanthrope ou L'Atrabilaire Amoureux,Villa Incognito,Darren Shan,Molière,Tom Robbins,Cherry Pie ,"Rum, Caramel, and Banana Bread Pudding ",Farro with Acorn Squash and Kale ,Wahiawa,HI,3,slytherin,fish,Racing,Forza Motorsport 3,0,15,1.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
14,2.0,male,single,rock,Y.G. Leakage,Washington Redskins,Fermin,Sieck,none,Goes to Mammoth Kindergarten,unemployed,,"['I Know That Voice', 'Grizzly Man', 'Artifact']","['The Lego Batman Movie', 'Toy Story', 'Horrible Bosses 2']",Пикник на обочине,Fool's Errand,The Eternity Cure,"Arkady Strugatsky, Boris Strugatsky, Antonina W. Bouis, Antonina W. Bouis, Theodore Sturgeon",Robin Hobb,Julie Kagawa,Chicken en Papillote ,Grilled Shrimp and Caesar Salad ,Warm Shrimp and Escarole Salad ,Cathlamet,WA,4,hufflepuff,fish,Platform,Crash Bandicoot: The Wrath of Cortex,0,2,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
15,48.0,male,single,country,Marriage 121,Philadelphia Eagles,Richard,Cummins,general_education,Went to Granite Bay School,Atlantic Hardware,Works asbus_driverrepairperson atAtlantic Hardware,"['Batman Begins', 'Pirates of the Caribbean: Dead Men Tell No Tales', 'Mei Gong He Xing Dong']","['No Good Deed', 'Zodiac', 'San Andreas']",That Boy,"Fables, Volume 4: March of the Wooden Soldiers","How Children Succeed: Grit, Curiosity, and the Hidden Power of Character",Jillian Dodd,"Bill Willingham, Mark Buckingham, Craig Hamilton, Steve Leialoha, P. Craig Russell",Paul Tough,Orange and Soy-Glazed Baby Back Ribs ,Multi-Grain Dinner Rolls ,Sweet Potato Biscuits ,Sand Rock,AL,4,gryffindor,horses,Racing,Need for Speed Underground 2,0,17,1.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16,16.0,female,single,country,To Banning Canopy,Seattle Seahawks,Michelle,Pike,none,Goes to Central High,unemployed,,"['Buena Vista Social Club', 'We Steal Secrets: The Story of WikiLeaks', 'Cowspiracy: The Sustainability Secret']","['Kevin Hart: Let Me Explain', 'The Beatles: Eight Days a Week - The Touring Years', 'Kevin Hart: Laugh at My Pain']",The Gates of Rome,会長はメイド様! 1,"A War of Gifts (The Ender Quintet, #1.5)",Conn Iggulden,Hiro Fujiwara,Orson Scott Card,Grilled Escarole ,Black Linguine with Orange and Red Peppers ,Grilled Yogurt-Marinated Leg of Lamb ,Melbourne Village,FL,4,ravenclaw,fish,Racing,Forza Motorsport 3,0,4,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
17,35.0,female,single,hip-hop,Bonus 692,Philadelphia Eagles,Lana,Brown,general_education,Went to Ravenwood High,Star Adventure Speed,Works asbus_driverrepairperson atStar Adventure Speed,"['Birkebeinerne', 'Batman v Superman: Dawn of Justice', 'Transformers: The Last Knight']","['Rise of the Planet of the Apes', 'Stonehearst Asylum', 'Kidnap']",The Rising,,"The Walking Dead, Vol. 4: The Heart's Desire",Kelley Armstrong,Li Cunxin,"Robert Kirkman, Charlie Adlard, Cliff Rathburn",Salmon with Sriracha Sauce and Lime ,Lemon Curd ,Baked Mushroom-Sesame Rice Balls ,Lydia,LA,3,hufflepuff,reptiles,Puzzle,High School Musical: Makin' the Cut!,0,7,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,27.0,female,married,folk,Crucible Of The Curious Hypnosis,Buffalo Bills,Della,Garcia,bachelor,Went to Edgewood College,Architecture Digital,Works aslawyer atArchitecture Digital,"['La chiave', 'The Lost City of Z', 'Me Before You']","['Bowling for Columbine', 'We Steal Secrets: The Story of WikiLeaks', 'Chasing Ice']",The Inheritance of Loss,Run Baby Run,The Girls,Kiran Desai,"Nicky Cruz, Jamie Buckingham",Lori Lansens,Strawberry Sundaes with Crème Fraîche Ice Cream ,Beef and Squash Chili ,"Crispy Pancetta, Burrata, and Tomato Sandwiches ",Monson,CA,3,hufflepuff,horses,Puzzle,Tetris Worlds,890,4,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
19,34.0,male,single,classical,Wolfgang Amadeus Mozart,Atlanta Falcons,Robert,Harper,master,Went to Seacoast University,Speed Technology Electronics,Works asmanager atSpeed Technology Electronics,"[""Voyage of Time: Life's Journey"", 'Deep Water', 'Who Killed the Electric Car?']","['Justice League', 'Iron Man 2', 'The Avengers']",The Devil Colony,Nesnesitelná lehkost bytí,,James Rollins,"Milan Kundera, Michael Henry Heim",Laurelin Paige,Crispy Kale Bars ,Upside-Down Grape and Mascarpone Cheesecake ,Beer-Marinated Pork Tenderloin with Red Cabbage ,Sparks,TX,2,ravenclaw,cats,Music,Just Dance 2014,0,6,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
20,23.0,female,single,jazz,Portside Of The Precious,New Orleans Saints,Janice,Woods,general_education,Went to Paramount School,Star Galaxy Internet,Works asconstruction_worker atStar Galaxy Internet,"['Me Before You', 'Saving Private Ryan', 'Blade Runner']","['The Hobbit: An Unexpected Journey', 'The Mummy', 'The Lego Batman Movie']",The Retribution of Mara Dyer,Rules of Civility,Shattered,Michelle Hodkin,Amor Towles,Kevin Hearne,5-Minute Slaw ,Simple Roast Turkey with Rich Turkey Gravy ,Smoked Scotch Eggs ,Pine Prairie,LA,2,ravenclaw,fish,Puzzle,Scribblenauts,0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
21,42.0,male,married,classical,Johann Sebastian Bach,Denver Broncos,Steven,Shiigi,doctor,Went to Winterville Institute,Solutions Application,Works as doctor at Solutions Application,"['Angels & Demons', 'El bar', 'Wind River']","['Blade II', 'Alien', 'Shaun of the Dead']",The Sugar Queen,The Road,Glory in Death,Sarah Addison Allen,Cormac McCarthy,J.D. Robb,Starry Starry Nights ,Stellar Quinoa Burger ,"Charred Pear Sorbet with Goat Cheese ""Snow"" ",Kemah,TX,4,ravenclaw,birds,Fighting,Street Fighter IV,989,16,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
22,4.0,female,single,tibetian throat singing,,Atlanta Falcons,Maria,Maxcy,none,Goes to Grapevine Elementary,unemployed,,"['Jupiter Ascending', 'La Belle et la Bête', 'The Twilight Saga: Eclipse']","['Jackass 3D', 'Jackass 2.5', 'Pina']",On Dublin Street,The Moon and Sixpence,The Memoirs of Cleopatra,Samantha Young,W. Somerset Maugham,Margaret George,Linguine and Zucchini with Bagna Cauda Sauce ,Creamed Mashed Potatoes with Spinach ,Chipotle-Coffee Steak Salad With Grilled Corn and Tomatoes ,Bath,NC,3,hufflepuff,rodents,Fighting,WWF SmackDown!,0,2,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
23,3.0,female,single,jazz,Focused Of The Terrifying,Pittsburgh Steelers,Letitia,Ross,none,Goes to Village Elementary,unemployed,,"['Ghost in the Shell', 'Now You See Me 2', 'I.T.']","['Barfly', 'Two for the Road', 'Gone with the Wind']","Big Boned (Heather Wells, #3)",The Three Little Kittens (A First Little Golden Book), ソウルイーター 2,Meg Cabot,"Masha, Marie Simchow Stern",Atsushi Ohkubo,Crazy Cantina Chili ,Black Bean Tart with Chili Crust ,Amaretto Zabaglione ,Wessington Springs,SD,1,slytherin,reptiles,Role-Playing,The Witcher 3: Wild Hunt,0,4,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
24,28.0,female,single,electronic,F.K. Lord,Denver Broncos,Jan,Lane,master,Went to Pioneer University,Architecture Vision West,Works aslawyer atArchitecture Vision West,"['The Incredible Hulk', 'Jurassic World', 'Suicide Squad']","['Searching for Sugar Man', 'Deep Water', ""Being Elmo: A Puppeteer's Journey""]",Sweet Tooth,The Lying Game,Elizabeth Street,Ian McEwan,Sara Shepard,Laurie Fabiano,Curried Cauliflower Apple Soup ,Cardamom Chai ,Rainbow Cookies ,Oil City,LA,3,gryffindor,rodents,Racing,Need for Speed Underground,0,3,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,43.0,male,single,tibetian throat singing,,Washington Redskins,Christopher,Dora,general_education,Went to Copper Cove Charter School,Application Systems,Works aswaiter atApplication Systems,"['The Lost City of Z', 'Sleight', 'Kingsman: The Secret Service']","['1', 'The Invisible War', 'Cesare deve morire']",,Batman Chronicles: Volume 1,Danny: The Champion of the World,E.L. James,"Bill Finger, Gardner F. Fox, Bob Kane, Jerry Robinson, Sheldon Moldoff","Roald Dahl, Quentin Blake",Raspberry Sorbet ,Chocolate Glaze ,Spaghetti with Scallion Sauce ,Marcellus,MI,1,hufflepuff,reptiles,Adventure,LEGO Indiana Jones: The Original Adventures,0,9,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
26,34.0,male,single,folk,Finishing Boyfriend And The Stamp,Chicago Bears,James,Arzu,master,Went to Sunshine University,Hill Data Solutions,Works aslawyer atHill Data Solutions,"['Saw 3D', 'I Spit on Your Grave III: Vengeance is Mine', 'Sinister 2']","['Maze Runner: The Scorch Trials', 'The Lord of the Rings: The Two Towers', 'Avatar']",Bumi Manusia,,Wicked Business,Pramoedya Ananta Toer,Jennifer Weiner,Janet Evanovich,Pasta with Arugula and Prosciutto ,Grilled Maple-Butter Apricots with Vanilla Ice Cream ,Golden Cashew-Curry Brittle ,Richfield,KS,3,slytherin,birds,Strategy,Command & Conquer: Red Alert,0,4,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
27,24.0,male,married,jazz,Focused Of The Terrifying,Detroit Lions,Andrew,Farwell,bachelor,Went to Faith Institute,Hardware Contract Electronic,Works assoftware_developer atHardware Contract Electronic,"['Dracula', 'Top Gun', 'A Ghost Story']","['The Pink Panther 2', 'Life of Crime', 'Who Framed Roger Rabbit']",Effortless,La vie de Gargantua et de Pantagruel,The Valley of Horses,S.C. Stephens,"François Rabelais, M.A. Screech",Jean M. Auel,Spicy Spiked Hot Chocolate ,Gochujang-Braised Chicken and Crispy Rice ,Linguine with Spicy Tomato and Clam Juice ,Spurgeon,TN,2,hufflepuff,horses,Simulation,The Sims: Unleashed,853,6,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
28,20.0,male,single,rock,Flannel Of The Unrestrained,Arizona Cardinals,Charley,Traxler,general_education,Went to East Bridge Secondary School,Innovation Electronics,Works ascook atInnovation Electronics,"['Inception', 'Derailed', 'Zodiac']","['Minority Report', ""Assassin's Creed"", 'The Bad Batch']",Dance Upon The Air,Das Lavendelzimmer ,Passion,Nora Roberts,"Nina George, Simon Pare",Lauren Kate,Carrot-Ginger Tea Bread ,White Fish Stock ,Lobster and Crab Ravioli ,Hilltop,WV,4,hufflepuff,reptiles,Simulation,The Sims 4,0,2,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
29,30.0,male,married,rock,Shrink F.B.,Green Bay Packers,Bruce,Lopez,general_education,Went to Paramount School,Architecture Bell Construction,Works aspainter atArchitecture Bell Construction,"['Thor: The Dark World', 'The Hobbit: The Battle of the Five Armies', 'The Hobbit: The Desolation of Smaug']","['Iron Man 2', 'The Hunger Games: Mockingjay - Part 2', 'Insurgent']",Doctors,Dark Reunion,Appointment in Samarra,Erich Segal,L.J. Smith,John O'Hara,Mango and Melon Dessert ,Smash ,Chocolate Merlot Cake ,Diablo Grande,CA,4,gryffindor,dogs,Sandbox,Windward,453,6,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
30,45.0,male,married,rock,Homework Of The Defect,Atlanta Falcons,John,Hicks,doctor,Went to Eagle Mountain College,Internet Vision,Works as doctor at Internet Vision,"['American Pie', '아가씨', 'La Belle et la Bête']","[""La Marche de l'empereur"", 'Video Games: The Movie', 'Jiro Dreams of Sushi']",The Shining Ones,Animal Farm: A Fairy Story,Beach Music,David Eddings,George Orwell,Pat Conroy,Chimichurri Sauce ,Lamb Stew with Spring Vegetables ,Ricotta Cheesecake ,Concordia,MO,1,ravenclaw,reptiles,Platform,LittleBigPlanet,597,12,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
31,33.0,female,single,electronic,M.W.L.,Indianapolis Colts,Stella,Soape,general_education,Went to Paramount School,North Studio People,Works aspainter atNorth Studio People,"['Thor: Ragnarok', 'Big Hero 6', 'Thor: Ragnarok']","['Terminator 3: Rise of the Machines', 'Alien: Covenant', 'Avengers: Age of Ultron']",Lab Girl,Bleach―ブリーチ― 15,شكلها باظت,Hope Jahren,Tite Kubo,عمر طاهر,Almond Pear Clafouti ,Cool Melon Soup ,Hot-Water Pastry Dough ,Locust Grove,GA,1,ravenclaw,horses,Simulation,Cooking Mama,0,2,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
32,40.0,female,married,rock,Hearing Reporting 573,Buffalo Bills,Carrie,Boyce,master,Went to West Bridge College,Max Design Consulting,Works aslawyer atMax Design Consulting,"['The Nightmare Before Christmas', 'The Mummy Returns', 'Thor']","['Jackass Number Two', 'Comedian', 'A Personal Journey with Martin Scorsese Through American Movies']",Tuck Everlasting,Rosemary's Baby,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Natalie Babbitt,Ira Levin,"Steven D. Levitt, Stephen J. Dubner",Lobster Salad with Glass Noodles and Jícama ,Roasted Onions and Potatoes ,Garlic Soup With Potatoes and Poached Eggs ,Zuehl,TX,4,slytherin,birds,Role-Playing,Fallout 4,604,14,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
33,42.0,male,married,country,K.C. Rotor,Houston Texans,Martin,Hayden,bachelor,Went to Sandalwood University,North Advanced Star,Works asnurseat North Advanced Star,"['Wimbledon', 'The Twilight Saga: Breaking Dawn - Part 2', 'The Big Sick']","['See No Evil, Hear No Evil', 'American Pie', 'The Pink Panther 2']",Just One Year,"The Code Book. How to Make It, Break It, Hack It, Crack It",11/22/63,Gayle Forman,Simon Singh,Stephen King,Savory Cheese Turnovers with Mint ,Cherry Clafouti ,Marinated Eggplant with Capers and Mint ,Swoyersville,PA,4,gryffindor,dogs,Puzzle,Tetris Plus,910,15,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
34,38.0,male,married,classical,Johann Sebastian Bach,Tennessee Titans,Charles,Turner,bachelor,Went to Winterville Institute,Data Pacific Contract,Works associal_workerat Data Pacific Contract,"['The Hunger Games: Catching Fire', 'The Hobbit: An Unexpected Journey', 'The Saint']","['Prince of Persia: The Sands of Time', 'The Twilight Saga: Eclipse', 'Harry Potter and the Half-Blood Prince']",Dead to the World,Jaya: An Illustrated Retelling of the Mahabharata,Lord Foul's Bane,Charlaine Harris,Devdutt Pattanaik,Stephen R. Donaldson,Asparagus with Hazelnuts and Tarragon Vinaigrette ,Almond and Banana Cookies ,Ultimate Mud Pie ,Hastings,IA,4,slytherin,birds,Action,Grand Theft Auto III,161,12,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
35,34.0,male,married,classical,Claude Debussy,Kansas City Chiefs,Christopher,Case,bachelor,Went to Whale Coast College,Technology Electronics Omega,Works asnurseat Technology Electronics Omega,"['Fight Club', 'The Dark Knight', 'Equals']","['Saw III', ""Child's Play 2"", 'Unfriend']",The Yellow Birds,The Last Letter From Your Lover,The Immortal Life of Henrietta Lacks,Kevin Powers,Jojo Moyes,Rebecca Skloot,Grilled Split Lobster ,Farmhouse Butternut Squash Soup ,Prosciutto with Melon ,Bannock,OH,4,gryffindor,cats,Action-Adventure,Assassin's Creed III,189,7,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
